FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DECIMALS,DECIMALS_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,DATA_SOURCE,DATA_SOURCE_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,ABW,Aruba,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,3.34449358136537,3.36424450500832,3.39521805194125,3.43238765790019,3.49160818863221,3.58066642998428,3.6914775964342,3.8310854742177,4.00273064819594,4.20524948371194,4.42876444978232,4.66450361252341,4.90356380138815,5.13985494077023,5.37783580871552,5.60859188544153,5.86692677934663,6.15365034920534,6.40471326079726,6.59852034136261,6.75093544634154,6.95629039578084,7.25915558665734,7.53530484224839,7.72269618015525,7.88125191776618,8.0566316177827,8.24836237795081,8.40346573087792,8.35283360969487,7.97958250799939,7.34346021372428,6.92972374749926,6.8613719997803,6.85327673122844,6.89102974711112,6.93577301106509,6.99592899012691,7.09819574546629,7.22757143335304,7.41573033707865,7.69107771026543,7.99477960678651,8.30079446891367,8.6172427296523,8.93035383267809,9.20997085134185,9.46940394723793,9.74323345793295,10.0310936866297,10.3737174955578,10.787572322756,11.2379897913226,11.7182197677554,12.214197542237,12.7289327124989,13.267679830556,13.8188608776844,14.4140050781772,15.0631500742942,15.7545590696855,16.4198541122227,17.1086624136658,17.8902183168447,18.683188199907
A,Annual,AFE,Africa Eastern and Southern,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,3.2933313767459333,3.2756491756548005,3.259171401269516,3.2446213342252856,3.232370669475882,3.2225482084019283,3.2147269095367825,3.209865694295763,3.2078580923454685,3.2066565303245844,3.206239144582714,3.206704336203903,3.2070785872867664,3.2069739791158804,3.2072405151600254,3.20807583013924,3.210225526390524,3.2138225293012264,3.218578531571703,3.225055399604651,3.230231252389204,3.235741538622788,3.243432916802183,3.2495525653784814,3.257150583107864,3.265502020410158,3.2706089660936626,3.2809486116844715,3.286188755418093,3.2802577287029533,3.272765805203933,3.265523107336721,3.262368597470645,3.257897561008228,3.255330094797145,3.257906753234314,3.2656594207071232,3.276736223632766,3.284716687123068,3.2939560990860945,3.305156682367339,3.3147573048984045,3.322635694615778,3.328319588016817,3.3318927783542795,3.333461767702518,3.3322422041228985,3.3289212365528327,3.3223667525405323,3.314585646607415,3.3116930733509635,3.3154095624315465,3.326556014032775,3.3436200592956435,3.3661378978253023,3.393763951390163,3.42375105689596,3.4602701681314905,3.507592616052981,3.559724313124897,3.605610067240502,3.639995214042751,3.678566829608732,3.730163405866664,3.7864600039401854
A,Annual,AFG,Afghanistan,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,2.6989629093271,2.69807874415977,2.69632016432698,2.69377946767405,2.6906313540977,2.68722115006246,2.68379933694558,2.68040475510929,2.6770887666879,2.67386563968031,2.67090847751419,2.66806560524462,2.66517928121608,2.66233315277025,2.65948167435735,2.65644742970008,2.65315513722585,2.64954138829991,2.64239115153067,2.62794429212944,2.60926105381454,2.58992360030052,2.56115570824274,2.52704431132045,2.48153105023913,2.42654311777827,2.39197635044795,2.37617581439875,2.36987519547556,2.37349221348273,2.37787976737401,2.38154215144034,2.38560676231343,2.39452643035436,2.40682250835393,2.41813102081106,2.42814862406319,2.43671988691995,2.44313636396657,2.4489566395029,2.45476602660218,2.46182535538942,2.47111633538812,2.48046144631466,2.48811183077806,2.49462258773467,2.50245361703905,2.51363647202575,2.52867985784207,2.54720443084187,2.57067642873899,2.59886389460069,2.62946806823521,2.65832433949618,2.6790483263538,2.68649269896174,2.69083875320879,2.70195314022668,2.71666386801821,2.73280607653286,2.73629498361687,2.72606591031089,2.73456416096031,2.76350523750233,2.7935180719331
A,Annual,AFW,Africa Western and Central,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,3.596405390072111,3.6074852621208815,3.626791506060591,3.6427010570120126,3.6533951795756257,3.657889793782107,3.656727883153828,3.649471765985893,3.640352013603247,3.631771309150397,3.619395390215999,3.600600328034219,3.581991785604397,3.5683523430514303,3.556121401873176,3.544399707030648,3.5325217733257865,3.524511250726292,3.521343623329774,3.519658932030046,3.5113694010157848,3.4974201697168565,3.490209334487949,3.4904726456752613,3.489730830113041,3.485153291716822,3.478977718827349,3.470993911994638,3.461334488896147,3.4501416534942053,3.439772554373448,3.4279837698707194,3.413460023978869,3.399825121130307,3.386682794966569,3.37282775566668,3.3587563533299662,3.344355998782884,3.328657446635023,3.312156364499366,3.295859372820084,3.280598906010246,3.26773517383063,3.256201873207345,3.243990701198137,3.231526792870868,3.219884545194416,3.209750602738544,3.2035866801877586,3.199476716375864,3.195923958357918,3.192916321756045,3.1882354369126693,3.179581412122324,3.163554255107372,3.1490853239568657,3.1418193897626034,3.138445867134292,3.14035749745675,3.147458714910436,3.1556958001557947,3.164795189468773,3.1798647137064826,3.2024694351911247,3.229296077478538
A,Annual,AGO,Angola,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,3.13741624089322,3.12617773855813,3.10837193059879,3.08177784404893,3.04541492360057,2.9991820681526,2.94359437565213,2.87923456620711,2.80746513621255,2.73010468624158,2.66149952829634,2.60428055607185,2.5469360337035,2.49146088895969,2.44159579321469,2.39679324552328,2.35638420918855,2.32276042698948,2.29606949974546,2.27511846137532,2.25927908295972,2.24873627163937,2.2437557651622,2.24174740345207,2.24244550070781,2.24849939255984,2.26039310264878,2.27421925135912,2.2926406074292,2.32129692677874,2.35877915293858,2.40842227537119,2.46572282259641,2.52828842645239,2.59887755152767,2.67160123712858,2.74288769286438,2.81095279216558,2.87171148084006,2.92671603187773,2.9756818392271,3.01754728113247,3.05266178682763,3.08164053573897,3.10351686943553,3.11528591008915,3.1188688699764,3.11666312719954,3.11150114216495,3.10451596583207,3.09683483009901,3.08950192568593,3.08104549311369,3.06655597128163,3.04371500972876,3.02293286146563,3.01055361936445,3.00576745660221,3.0102473798141,3.02328955935866,3.04269096509155,3.06445567423654,3.09499690772957,3.13664759177726,3.18197728616885
A,Annual,ALB,Albania,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,6.35236789899049,6.22000003559506,6.08536022514722,5.98175417088972,5.90232632870203,5.84509817830013,5.80634226766934,5.78027931942944,5.76519905897439,5.75677028685203,5.74865423528053,5.7423381450694,5.74985823188398,5.77854819324751,5.81562182830628,5.86263840407859,5.92163586099382,5.99298708134085,6.06691900894791,6.07357510954732,6.03351706887767,5.99401959698547,5.95081621407998,5.92099716777041,5.91728227213161,5.99817556147229,6.10002004337609,6.13757200213095,6.15095286644185,6.19595420695787,6.32972188983483,6.48904911307787,6.62740749611263,6.76564778634835,6.90319847232055,7.06450753336531,7.23207916445647,7.3831788260706,7.5297133228349,7.68291779469777,7.84619695119204,8.06092087972032,8.34532616288367,8.66414921400231,9.0119264980903,9.39964762536663,9.82570087415592,10.2662471860895,10.6909077243648,11.0835030019927,11.4443955396583,11.7628019111791,12.0625069516228,12.3919498672574,12.7541615481,13.141970281359,13.5270664301935,13.920578658089,14.3655159202551,14.8867017357082,15.4403132059837,15.9958360561702,16.5608836519767,17.1364295535051,17.80947382066
A,Annual,AND,Andorra,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,8.78090366581415,8.13387625384844,7.55399017517842,7.04994797086368,6.51041666666667,6.09261385380788,5.89416320091783,5.77691897654584,5.7296495457074,5.73219111136664,5.72500670061646,5.73733527083229,5.76029294399324,5.7599929487462,5.76699834162521,5.83753370062126,5.94293307740578,6.07692307692308,6.22818970387849,6.41977659304392,6.68453269178061,6.98923153663331,7.20975883342681,7.35019973368842,7.52496886833211,7.87221070601146,8.20959683978157,8.66450091228695,9.18866709594333,9.63865476091129,10.0368602332467,10.0054684995569,10.017219036799,10.261698674601,10.5923379499554,11.0705636466178,11.4869208327152,11.8612367042904,12.2149915642323,12.5322750310797,12.8917922309111,13.3392337842964,13.7586459943479,13.6064494899638,13.0287766755995,12.6624647402589,12.5731879004776,12.6838517911136,12.950615888801,13.3055019004299,13.4404133150888,13.3539802104932,13.4028828541849,13.5158173896571,13.5992734578179,13.6463035128543,13.7125479974215,13.8846111538885,14.1602857220163,14.4878724140685,14.9141969784703,15.340390582223,15.7072368421053,16.1561439927092,16.6762370799421
A,Annual,ARB,Arab World,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,3.819133451428677,3.857902662026477,3.906634628183823,3.9463465478976825,3.976752936741033,3.9995922122737375,4.007744543292215,4.003190781175927,3.996419678808536,3.986384517303719,3.973048398142571,3.957481021276456,3.9397247630791465,3.916932675758382,3.891807375385535,3.866038743555919,3.8368243292527215,3.805871507458844,3.7729512722900425,3.739520886100301,3.708992733029013,3.682520794765391,3.659988030450132,3.6423671739651033,3.631407302278727,3.625454444897513,3.625906235012976,3.6318592266663,3.639041594520322,3.6480929522335583,3.6498218041477575,3.665201853447994,3.689282006911272,3.7228741836266974,3.7579303080049073,3.7959763038234686,3.838861957663498,3.883320992568284,3.921741220520846,3.953677357029453,3.981101343345892,4.005457157470191,4.029242428039786,4.050531398706536,4.064614862331066,4.07144399489335,4.073507511392726,4.070587196742975,4.0693636826161175,4.075911052865159,4.094634984039515,4.122427381675972,4.161619593481904,4.205623631187885,4.254049064754288,4.307189513201132,4.374999679991776,4.460343807618572,4.5610666817999705,4.667857677010541,4.760785967051412,4.843128127254623,4.931416632830282,5.049365071413781,5.177287634999959
A,Annual,ARE,United Arab Emirates,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,3.27935181719788,3.15187646598905,3.01330341400866,2.86282595071798,2.70246632849397,2.54075674216087,2.38997830269783,2.25961499883649,2.18935311492413,2.19652261359727,2.24027287969012,2.3066181492014,2.38831794114583,2.49017356984371,2.62490531238679,2.79732840169769,2.74034724021767,2.47704550091818,2.23676934876835,2.02053621013577,1.83816215473942,1.7362454369031,1.69345429850071,1.65760338066999,1.62987594635385,1.61331081019551,1.58662652020775,1.54637335089208,1.5083062973324,1.47386979632651,1.4446591314299,1.42128841670783,1.40578550921565,1.39872971267174,1.39791808738457,1.40113629735364,1.41881955889078,1.45517410749644,1.5059006232535,1.57255957486665,1.65369111420639,1.74606624245956,1.84729314920702,1.95850838094718,2.08584041137489,2.23773720632852,2.30037373341802,2.0817211023555,1.81859863392583,1.77142654775056,1.75740466423785,1.72515961545068,1.74934449829841,1.75889415865829,1.77635096004889,1.80284332322106,1.82530125605119,1.82917871400095,1.85250604526806,1.86854222631346,1.91936392348218,2.02163037572199,2.05165795727696,2.10558514485469,2.16240516279178
A,Annual,ARG,Argentina,WB_WDI_SP_POP_65UP_FE_ZS,"Population ages 65 and above, female (% of female population)",F,Female,Y_GE65,65 years old and over,PT_W,Percentage of women,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),0,Units,WB_WDI,World Development Indicators (WDI),A,Normal value,PU,Public,5.5755733547966,5.74430574557054,5.91852839094137,6.09284038683836,6.26747976461539,6.4439589139277,6.62516585099826,6.80548119241575,6.97829564271999,7.13951604063329,7.30092223418734,7.45932688635722,7.60574998072947,7.74833756016446,7.89551316518318,8.05405130014032,8.21813285727641,8.38785653416258,8.56105567457006,8.72021697151711,8.85655755115893,8.98274936726972,9.09341798156776,9.18194979360358,9.26507619117927,9.36903727880951,9.49989188432438,9.64243578229708,9.79469028753312,9.95759308746637,10.117292072461,10.281585565508,10.456001234159,10.6207441954804,10.7696071174249,10.9026895893904,11.0229682256823,11.1372427268892,11.2377453504697,11.3197732520701,11.3959684500204,11.4765267937501,11.5610093943987,11.6350503784774,11.703618889128,11.7841083752507,11.8730343488268,11.9487624101423,12.0262044445887,12.1275858908999,12.2314845691255,12.3460600202081,12.4672750351012,12.574506310041,12.6865019638559,12.8221876622373,12.9640762944325,13.0991826060304,13.250127842383,13.4166274297892,13.5836896113203,13.7222591417996,13.842988272906,14.0109875081166,14.2201868645042
